Name: WallRepulse
U02: 0
U03: 30
U04: 0

0x090ED078
U01: 1000

0x090ED07D
U01: 0
U02: 0
U03: 4

0x090ED084
U01: 3
U02: 1
U03: 3

0x090ED085
U01: True
U02: 0
U03: 0.2
U04: 0.6
U05: 0.2
U06: 1.7

0x090ED086
U01: 0
U02: 0.5

0x090ED088
U01: 0.3

0x090ED089
U01: (0, 0) (360, 30)
U02: null
U03: 0
U04: 10
U05: 130
U06: 230
U07: 45
U08: 80
U09: 40
U10: 60
U11: 0.3
U12: 0.3
U13: 1
U14: 1
U15: 1
U16: 80
U17: 80
U18: 0
U19: False
U20: (-50, 50000) (-10, 10000) (0, 0) (10, 50000) (50, 100000) (100, 500000)
U21: (0, 0.5) (10, 0.3) (50, 0.2) (100, 0.1)
U22: (-100, -0.3) (-50, -0.3) (-10, -0.2) (0, -0.1)

0x090ED08A
U01: 5
U02: 5
U03: 5
U04: 2
U05: (0, 2) (100, 5)
U06: (0, 1)
U07: (0, 1)
U08: (0, 1)
U09: null
U10: null
U11: (0, 1)
U12: (0, 1)
U13: 0
U14: null
U15: (0, 1)
U16: False

0x090ED08B
U01: null
U02: null
U03: null
U04: 0
U05: null
U06: 0
U07: 0
U08: null
U09: True
U10: 0
U11: 0
U12: (0, 0) (100, 0)
U13: 0
U14: 0
U15: (0, 0) (20, 1000) (50, 2000)
U16: 0
U17: (0, 1) (20, 0.4) (100, 0.2)
U18: 0.5
U19: (0, 0) (10, 1) (500, 10)
U20: 0
U21: (0, 0) (8, 80) (10, 24)
U22: (0, 1) (100, 20)
U23: (0, 1) (100, 50)
U24: 5
U25: 1
U26: 1
U27: 10
U28: 3
U29: (5, 1) (8, 0)
U30: 138.61111
U31: (0, 0) (300, 6)
U32: (0, 0) (300, 6)
U33: (0, 0) (50, 12) (100, 24) (200, 48) (400, 70)
U34: 2000
U35: 1000
U36: (0, 0) (500, 5)
U37: 0
U38: 0
U39: 0
U40: 50
U41: 200
U42: 0
U43: True
U44: 9.81
U45: 0.3333
U46: (20, 0) (100, 50) (300, 200)
U47: 400
U48: False
U49: 3
U50: 1.1
U51: 0
U52: 0
U53: 0
U54: null
U55: null
U56: 1000
U57: 2
U58: 10
U59: null
U60: null
U61: 0
U62: null
U63: True
U64: False
U65: (0, 0)
U66: null

0x090ED08C
U01: -0.8
U02: -0.8
U03: 0
U04: 0
U05: 1

0x090ED08D
U01: 10
U02: False
U03: False
U04: 10
U05: 0
U06: null
U07: null
U08: 0.01
U09: True

0x090ED08E
U01: [External { Node = , File = Cars\CarSport\Camera\Behind.Cam.Gbx, Flags: 1, UseFile: False }, External { Node = , File = Cars\CarSport\Camera\Close.Cam.Gbx, Flags: 1, UseFile: False }, External { Node = , File = Cars\CarSport\Camera\Internal.Cam.Gbx, Flags: 1, UseFile: False }]
U01File: null
U02: [External { Node = , File = VehicleTunings\Behind_Console.VehicleCameraRace3Model.gbx, Flags: 1, UseFile: False }, External { Node = , File = VehicleTunings\Close_Console.VehicleCameraRace3Model.gbx, Flags: 1, UseFile: False }, External { Node = , File = VehicleTunings\Internal_Console.VehicleCameraInternalModel.Gbx, Flags: 1, UseFile: False }]
U02File: null
U03: GBX.NET.Engines.Plug.CPlugVehicleCameraInternalModel
U03File: null
U04: null
U04File: null
U05: []
U05File: null

0x090ED094
U01: 5
U02: (0, 0)
U03: 250
U04: 20
U05: (0, 0)
U06: 100
U07: 1000
U08: 1000
U09: 2
U10: (0, 60)
U11: 3000
U12: 500
U13: null
U14: 1000

0x090ED095
U01: 30000
U02: 3.14
U03: (0, 1)
U04: False
U05: 0
U06: 5
U07: 5
U08: 0
U09: 1
U10: (0, 6.28) (3.14, 3.14)
U11: (0, 6.28) (3.14, 3.14)
U12: (0, 6.28) (3.14, 0)
U13: 0
U14: 1
U15: 0
U16: (0, 0)
U17: 1084227584
U18: (0, 0)

0x090ED096
U01: 11000
U02: 2500
U03: 25
U04: 0.225
U05: 6000
U06: 3000
U07: 17000
U08: 11500
U09: 5
U10: 0.75
U11: 10000
U12: 4000
U13: 3
U14: 2
U15: -2
U16: -3
U17: 1
U18: True
U19: 1

0x090ED097
U01: 0.3
U02: 0.2
U03: -0.5
U04: -0.5
U05: -0.8
U06: -0.8
U07: True
U08: GBX.NET.Engines.MwFoundations.CMwRefBuffer

0x090ED098
U01: 80
U02: 150
U03: 0.6
U04: 0.5
U05: 50
U06: 0.2
U07: 5
U08: 10
U09: False

0x090ED099
U01: null

0x090ED09A
U01: null
U01File: Cars\CarSport\GearboxSport.VehicleGearBox.Gbx, Flags: 1, UseFile: False

0x090ED09B
U01: 12
U02: 20
U03: 6
U04: 10
U05: 0.25
U06: 0.05
U07: 300
U08: 150
U09: 500
U10: 50
U11: 100
U12: 200
U13: 325
U14: 425
U15: 2.5
U16: 2.5
U17: 1.5
U18: 0.15
U19: 7
U20: 4
U21: 3
U22: 0.5
U23: 0.5
U24: 1.5
U25: 1.5
U26: 2.5
U27: 1.5
U28: 0
U29: 0.875496
U30: 0.0795808
U31: (0.8, 0.8) (1, 1) (1.25, 1.5)

0x090ED09C
U01: null
U02: (0, 3500)
U03: (0, 0) (20, 50000)
U04: (10, 1) (100, 0)
U05: -4000
U06: -6000
U07: null
U08: null
U09: null
U10: (0, 4000) (0.5, 5000) (0.6, 7000) (0.7, 0)
U11: (0, 0) (0.2, 2000) (0.6, 7000)
U12: (0, 4000) (0.5, 5000) (0.6, 7000) (0.7, 0)
U13: (0, 0) (0.2, 2000) (0.6, 7000)
U14: 2
U15: null
U16: null
U17: 2.5
U18: (0, 180000) (0.2, 110000) (0.4, 90000) (0.6, 70000) (0.8, 10000) (1, 5000)
U19: 30
U20: 500
U21: 1000
U22: 200
U23: 0
U24: (0, 200000)
U25: (0, 200000)
U26: 200
U27: 1.4
U28: (0, 2.5) (20, 1.2) (25, 1) (35, 1) (50, 0.8) (90, 0)
U29: (0, 0) (20, 0.8) (25, 1) (35, 1) (40, 1.2) (90, 2)
U30: (0, 1.5) (20, 1)
U31: (1, 1) (20, 1)
U32: 0
U33: 40
U34: (0, 0)
U35: 1

0x090ED09D
U01: null
U02: null
U03: null
U04: 0
U05: 0
U06: null
U07: 0
U08: 0
U09: null
U10: null
U11: null
U12: null
U13: null
U14: 0
U15: 1
U16: (0, 10000)
U17: (0, 100)
U18: null
U19: (0, 0)
U20: (0, 0)
U21: 1
U22: 0.004
U23: 30
U24: (0, 1)
U25: (0, 0)
U26: (0, 1000)
U27: null
U28: (0, 100)
U29: null
U30: null
U31: null
U32: null
U33: null
U34: null
U35: 1
U36: (0, 1)
U37: 1
U38: 1
U39: 0
U40: (0, 0)
U41: 0
U42: (0, 1)
U43: (0, 0)
U44: (0, 0)
U45: 10
U46: 2.803E-42
U47: 0
U48: 0.5
U49: (0, 0)
U50: 0
U51: GBX.NET.Engines.Plug.CPlugDynaWaterModel

0x090ED09E
U01: 5
U02: 0.5
U03: 45
U04: 1
U05: 0
U06: 0.3
U07: 1
U08: 0.5
U09: (0, 1)
U10: null
U11: (0, 1)
U12: 2.5
U13: 1061158912
U14: 1065353216

0x090ED09F
U01: (0, 1)
U02: 1
U03: 1
U04: 1
U05: 1
U06: (0, 0)
U07: (0, 0)
U08: 3
U09: 5
U10: 0
U11: 0
U12: 0
U13: 0
U14: 0
U15: (0, 0)
U16: 0.5
U17: (0, 1)
U18: (0, 1)
U19: 17.5
U20: -5
U21: 1
U22: 1
U23: 1
U24: <1, 1, 1>
U25: <0, 0, 0>
U26: (0, 0)
U27: (0, 0)
U28: False
U29: 2500
U30: 10000
U31: 4500
U32: 17500
U33: 8

0x090ED0A0
U01: -1133133169
U02: 1103626240
U03: 1101004800
U04: 1117126656
U05: 1101004800
U06: 1101004800
U07: 1084227584
U08: 1033476506
U09: 1077936128
U10: 1065353216

0x090ED0A1
U01: (-90, 1.5) (-10, 1.25) (0, 1) (10, -1.25) (90, -1.5)
U02: (0, 400) (60, 0)
U03: 1008981770
U04: 1008981770
U05: (0, 1) (5, 3000) (15, 7000) (30, 10000) (45, 7500) (60, 5000) (90, 4000) (140, 3000)
U06: (0, 1) (20, 25) (100, 100)
U07: 1048576000
U08: 1119092736
U09: 1101004800
U10: 1110704128
U11: 1008981770
U12: (0, 2000) (100, 1000) (200, 500)

0x090ED0A2
U01: (0, 1) (50, 0.5) (100, 0.25)
U02: (0, 0) (50, 0.95) (100, 0.98) (200, 0.99)
U03: (0, 0) (50, 0.95) (200, 1)
U04: (0, 1) (50, 0.5) (100, 0.25)
U05: (0, 1) (50, 0.5) (100, 0.25)
U06: (0, 1) (75, 0.2) (100, 0)
U07: (0, 1) (50, 0.75) (100, 0.6)
U08: (0, 1) (50, 0) (100, 0)
U09: (0, 0)
U10: (0, 0)
U11: (0, 1) (50, 0.5) (100, 0.25)
U12: (0, 1) (50, 0.75) (100, 0.6)

0x090ED0A3
U01: 1045220557
U02: 1056964608
U03: 1000
U04: 3000
U05: 1055286886
U06: 1086324736
U07: -1061158912
U08: 1028443341
U09: 1056964608
U10: 1061158912
U11: null
U12: 1092616192
U13: 0
U14: 0
U15: 0
U16: 0
U17: null
U18: null
U19: (0, 0.1) (50, 0.5) (100, 1) (200, 1.5)
U20: (0, 0.3) (50, 1.5) (100, 3)
U21: 6000
U22: 0
U23: 0
U24: 1084227584
U25: 10000
U26: 0
U27: 1060320051
U28: (0, 0)
U29: (0, 0)

0x090ED0A4
U01: 1051372203
U02: 1038323257
U03: 10000
U04: 0
U05: (0, 0)
U06: 1123024896
U07: 1106247680
U08: 1056964608
U09: 200
U10: 1036831949
U11: (0, 1)
U12: (0, 0)
U13: (0, 1)
U14: 1
U15: (0, 0) (1, 1)
U16: (0, 1)
U17: 0
U18: 0
U19: 0
U20: 0
U21: 0
U22: (0, 0)
U23: 0
U24: 17
U25: 1065353216
U26: 1

0x090ED0A5
U01: 0
U02: 1
U03: 0
U04: 1
U05: 0
U06: 0
U07: 0
U08: 0
U09: 1101004800
U10: 1069547520
U11: 1056964608
U12: 1073741824
U13: 1065353216
U14: 1045220557
U15: null
U16: null
U17: null
U18: null
U19: null
U20: null
U21: (0, 0) (10, 25) (20, 75) (40, 150)
U22: null
U23: null
U24: null
U25: (0, 8) (0.5, 1) (1, 0)

0x090ED0A6
U01: (0, 8) (0.5, 2) (1, 8)
U02: (0, 0) (10, 1)
U03: (0, 7) (200, 6) (400, 5)
U04: 500
U05: 200
U06: 0
U07: 1084227584
U08: (0, 0)
U09: (0, 0)
U10: 1110704128
U11: (0, 0)
U12: 1045220557
U13: (0, 0)
U14: (0, 0)
U15: 0
U16: 0
U17: null
U18: null
U19: (0, 1)
U20: (0, 1)
U21: (0, 0)
U22: (0, 8)
U23: 0
U24: 0
U25: 400
U26: 300
U27: 0
U28: (0, 1.07) (1, 1.05)

0x090ED0A7
U01: 1
U02: 0
U03: 8000
U04: 1092616192
U05: 1092616192
U06: 1048576000
U07: 1084227584
U08: (0, 0)
U09: (0, 0)
U10: 0
U11: 500
U12: (0, 0)
U13: 0
U14: 1073741824
U15: 1082130432
U16: 0
U17: 0
U18: 5500
U19: 0
U20: null
U21: 0
U22: (0, 0)
U23: (0, 0)
U24: (0, 0)
U25: 200
U26: 1082130432
U27: (0, 0)
U28: (0, 0)
U29: 1073741824
U30: 1073741824
U31: (0, 0)
U32: (0, 0)
U33: (0, 0)
U34: 1000
U35: (0, 0)
U36: (0, 1)
U37: 1051931443
U38: 1073741824

0x090ED0A8
U01: 1
U02: (0, 0)
U03: (0, 1)
U04: (0, 1)
U05: (0, 0)
U06: (0, 0)
U07: 100
U08: 200
U09: 1101004800
U10: (0, 0)
U11: (0, 0)
U12: 1036831949
U13: 0
U14: (0, 0)

0x090ED0A9
U01: 0
U02: 500
U03: (0, 0)
U04: (0, 0)
U05: 0
U06: 500
U07: 1092616192
U08: (0, 0)
U09: (0, 0)
U10: (0, 0)

0x090ED0AA
U01: 1061752795

0x090ED0AB
U01: 1
U02: 2000
U03: 1109393408
U04: (1000, 1) (2000, 4)

0x090ED0AC
U01: 0

0x090ED0AD
U01: (-1, 400) (0, 400) (0.15, -200) (1, -200)
U02: 0
U03: 1077936128
U04: 0
U05: null
U06: 0
U07: 0
U08: 0
U09: 0
U10: null
U11: (0, 0)
U12: 0
U13: 0
U14: null
U15: (0, 1)
U16: null
U17: (0, 0)
U18: (0, 0)
U19: (0, 0)
U20: (0, 0)
U21: 0
U22: 200
U23: 50
U24: (0, 0)
U25: (0, 0)
U26: (0, 1)
U27: 1051372203
U28: 1077936128
U29: (0, 1)
U30: null
U31: null
U32: (0, 1)
U33: 1084227584
U34: 1500

0x090ED0AE
U01: 1
U02: (0, 0)
U03: 1045220557

0x090ED0AF
U01: (0, 80) (100, 80) (200, 75) (300, 67) (400, 60) (500, 55)
U02: 1051931443
U03: 1065353216
U04: 1084227584
U05: 1109393408
U06: (0, 0)
U07: (0, 0) (50, 12) (100, 24) (200, 48) (400, 70)
U08: (-50, 1) (0, 0) (50, 0) (100, 0) (200, 0) (300, 0)
U09: (0, 1)
U10: 1078523331
U11: 1071644672
U12: 1114636288
U13: 1106247680
U14: 1050253722
U15: (-100, 7) (0, 16) (50, 10.4) (100, 8.5) (150, 6.8) (200, 5.5) (300, 4.25) (400, 4) (500, 3.75) (600, 3.75)
U16: 1065353216
U17: 1065353216
U18: 1065353216
U19: (0, 10) (100, 20)
U20: (0, 100)
U21: 1065353216
U22: (0, 40)
U23: 1065353216
U24: 1065353216
U25: (0, 10)
U26: (0, 1)
U27: (0, 0)
U28: 1065353216
U29: 1113471204
U30: 1112014848
U31: (0, 0.7) (0.4, 0.7) (0.5, 0.6) (1, 0.6)
U32: (0, 0) (2, 0.2) (50, 1)
U33: (0, 0.9) (0.4, 0.9) (0.5, 1.5) (1, 1.5)
U34: (0, 0.1) (0.6, 0.3) (0.975, 1) (1, 1)
U35: 1101441707
U36: (0, 1) (5, 2) (10, 3)
U37: (0, 0) (1, 0.8) (10, 1) (20, 1) (30, 1)
U38: 1084227584
U39: 1128792064
U40: (-1000, 1) (-102, 2) (-80, 6) (-35, 12) (0, 16) (101, 11) (201, 7) (401, 5.5) (801, 1)
U41: (-150, 0.1) (-100, 1.5) (-50, 8) (0, 30)
U42: (0, 0) (1, 30) (10, 30)
U43: 1073741824
U44: 1077936128
U45: 1086324736
U46: 1065353216
U47: 1101004800
U48: 1101441707
U49: 1073741824
U50: 1065353216
U51: 1056964608
U52: 500
U53: 1056964608
U54: 1065353216
U55: 150
U56: 1045220557
U57: 1065353216
U58: 1065353216
U59: 1084227584
U60: (0, 1.5) (10, 1.2) (50, 0.2)
U61: (0, 0) (10, 5) (20, 6)
U62: 1051931443
U63: 1125515264
U64: 1071605246
U65: 1061746115
U66: 0
U67: (0, 30) (100, 10)
U68: 1065353216
U69: 1065353216
U70: (0, 2) (100, 5)
U71: 0
U72: (0, 0) (40, 0) (60, 0.1) (90, 0.3)
U73: (0, 0) (40, 0) (60, 0.1) (90, 0.3)
U74: 1036831949
U75: (0, 0) (20, 20)
U76: (0, 1) (30, 0.3) (200, 0)
U77: (0, 0) (100, 10)
U78: (0, 1) (30, 1)

0x090ED0B0
U01: 0
U02: 0
