Name: 10novembre2003
SlipAngleForceCoef1: 10
SlipAngleForceCoef2: 0.01
SlipAngleForceMax: 0.087266
SlopeSpeedGainLimit: 0
SoundBodyImpact_Hard_Threshold: 18
SoundBodyImpact_Soft_Threshold: 1.5
SoundEngineVolume: 0.6
SoundImpactVolume: 1
SoundSkidConcreteVolume: 1
SoundSkidSandVolume: 1
SoundWheelImpact_Hard_Threshold: 5
SoundWheelImpact_Soft_Threshold: 3
SteerAngleMax: 0.523599
SteerDriveTorque: (0, 10)
SteerDurationBeforeSteerSlowDown: 0
SteerGroundTorque: 0.08
SteerGroundTorqueSlippingCoef: 1.1
SteerLowSpeed: 30
SteerModel: Steer02
SteerRadiusCoef: 0.7
SteerRadiusMin: 5
SteerSlowDown: (0, 0) (50, 3) (100, 1.5) (150, 0) (300, 0)
SteerSlowDownCoef: 0.25
SteerSlowDownFadeInDuration: 0
SteerSlowDownFadeOutDuration: 0
SteerSpeed: 30
TireMaterial: 9
Turbo2Boost: 0
Turbo2Duration: 0
TurboBoost: 5
TurboDuration: 500
VibrationPeriodSpeedCoef: 0.0005
VisualSteerAngleFromSpeed: null
WaterAngularFriction: 0
WaterAngularFrictionSq: 0
WaterBumpMinSpeed: 0
WaterBumpSlowDownFromSpeedRatio: null
WaterFrictionFromSpeed: null
WaterGravity: 0
WaterReboundFromSpeedRatio: null
WaterReboundMinHSpeed: 0
WaterSplashFromSpeed: null
WheelFrictionCoef_Concrete: 0
WheelFrictionCoef_Metal: 0
WheelRestCoef_Concrete: -0.8
WheelRestCoef_Metal: -0.8

0x090ED000
U01: 1
U02: 35

0x090ED001

0x090ED002

0x090ED004

0x090ED005

0x090ED007

0x090ED008

0x090ED009

0x090ED00B

0x090ED00D

0x090ED00E

0x090ED010

0x090ED013
U01: 0
U02: 0
U03: 0
U04: 0
U05: 0
U06: 0
U07: 0
U08: 0
U09: 0
U10: 0
U11: 0
U12: 0

0x090ED014
U01: 2.9833224E-32
U02: 6.2863704E-33

0x090ED016

0x090ED017
U01: 0
U02: 0
U03: 0
U04: 0
U05: 0

0x090ED018

0x090ED019

0x090ED01A
U01: 1

0x090ED01B
U01: 0

0x090ED01D

0x090ED01E

0x090ED01F
U01: 1
U02: 1
U03: 1

0x090ED020

0x090ED023

0x090ED024

0x090ED026

0x090ED027

0x090ED028
U01: 1
U02: 1

0x090ED029

0x090ED02A

0x090ED02B

0x090ED02C

0x090ED02D

0x090ED02E
U01: 0

0x090ED02F

0x090ED030

0x090ED031

0x090ED032

0x090ED033

0x090ED034
